Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Yefry Castillo,21,23,75,71,8,21,3,2,0,10,2,2,1,11,.296,.297,.394,.692,28,2,0,1,2,0,0
Andrew Clark*,23,103,430,355,59,111,24,0,12,60,7,4,62,62,.313,.422,.482,.904,171,7,8,1,4,3,0
Kellin Deglan*,19,89,339,291,39,66,15,1,6,39,2,0,34,91,.227,.320,.347,.668,101,3,8,2,4,0,0
Edwin Garcia,20,2,7,6,2,3,1,0,0,1,0,0,1,0,.500,.571,.667,1.238,4,0,0,0,0,0,0
Jhonny Gomez,21,93,349,295,41,76,9,0,2,31,3,7,40,53,.258,.358,.308,.667,91,11,8,3,3,2,0
Odubel Herrera*,19,119,505,464,72,142,26,3,3,56,34,11,24,78,.306,.349,.394,.744,183,12,8,7,2,0,1
Braxton Lane#,20,25,79,59,16,11,2,0,0,1,6,1,15,16,.186,.368,.220,.589,13,1,2,3,0,0,0
Teodoro Martinez,19,63,243,214,27,59,10,2,3,25,20,12,17,32,.276,.333,.383,.717,82,5,3,6,3,0,0
Clark Murphy*,21,9,34,30,1,4,0,0,0,0,0,1,4,10,.133,.235,.133,.369,4,0,0,0,0,0,0
Jurickson Profar#,18,115,516,430,86,123,37,8,12,65,23,9,65,63,.286,.390,.493,.883,212,7,11,6,4,2,1
Josh Richmond,22,126,516,462,73,114,32,5,11,50,9,4,40,114,.247,.318,.409,.727,189,7,10,0,4,1,0
Jonathan Roof,22,79,258,236,28,65,15,0,2,38,15,5,12,43,.275,.308,.364,.673,86,7,1,5,4,0,0
Alejandro Selen,22,62,239,214,36,63,14,1,11,38,1,1,18,64,.294,.359,.523,.882,112,7,4,2,1,0,0
Jake Skole*,19,124,501,424,76,112,14,6,9,62,21,14,65,138,.264,.366,.389,.755,165,5,6,1,5,1,0
Tomas Telis#,20,115,494,461,67,137,28,0,11,69,12,6,18,35,.297,.329,.430,.759,198,17,6,5,4,0,1
Kevin Torres*,21,2,8,8,2,4,1,0,0,0,0,0,0,2,.500,.500,.625,1.125,5,0,0,0,0,0,0
Christian Villanueva,20,126,529,467,78,130,30,3,17,84,32,6,37,86,.278,.338,.465,.803,217,12,12,0,13,1,1
