Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Miguel Olivo,33,87,323,315,27,70,14,0,12,29,3,6,7,85,.222,.239,.381,.620,120,8,0,1,0,0,1,2012,MLB,SEA
Justin Smoak#,25,132,535,483,49,105,14,0,19,51,1,0,49,111,.217,.290,.364,.654,176,12,1,0,2,2,1,2012,MLB,SEA
Dustin Ackley*,24,153,668,607,84,137,22,2,12,50,13,3,59,124,.226,.294,.328,.622,199,3,0,1,1,7,1,2012,MLB,SEA
Brendan Ryan,30,141,470,407,42,79,19,3,3,31,11,5,44,98,.194,.277,.278,.555,113,4,5,8,6,0,1,2012,MLB,SEA
Kyle Seager*,24,155,651,594,62,154,35,1,20,86,13,5,46,110,.259,.316,.423,.738,251,9,5,2,4,1,1,2012,MLB,SEA
Casper Wells,27,93,316,285,42,65,12,3,10,36,3,0,26,80,.228,.302,.396,.698,113,3,4,1,0,0,1,2012,MLB,SEA
Michael Saunders*,25,139,553,507,71,125,31,3,19,57,21,4,43,132,.247,.306,.432,.738,219,6,1,1,1,0,1,2012,MLB,SEA
Ichiro Suzuki*,38,95,423,402,49,105,15,5,4,28,15,2,17,40,.261,.288,.353,.642,142,10,0,0,4,4,1,2012,MLB,SEA
Jesus Montero,22,135,553,515,46,134,20,0,15,62,0,2,29,99,.260,.298,.386,.685,199,15,2,0,7,4,1,2012,MLB,SEA
John Jaso*,28,108,361,294,41,81,19,2,10,50,5,0,56,51,.276,.394,.456,.850,134,6,5,1,5,1,1,2012,MLB,SEA
Chone Figgins#,34,66,194,166,18,30,5,2,2,11,4,1,19,48,.181,.262,.271,.533,45,3,0,7,2,0,1,2012,MLB,SEA
Mike Carp*,26,59,189,164,17,35,6,0,5,20,1,0,21,46,.213,.312,.341,.654,56,7,3,0,1,1,1,2012,MLB,SEA
Trayvon Robinson#,24,46,164,145,16,32,4,1,3,12,6,3,14,43,.221,.294,.324,.618,47,2,1,4,0,1,1,2012,MLB,SEA
Franklin Gutierrez,29,40,163,150,18,39,10,1,4,17,3,1,9,31,.260,.309,.420,.729,63,5,2,1,1,0,1,2012,MLB,SEA
Eric Thames*,25,40,130,123,10,27,5,2,6,14,1,0,6,47,.220,.256,.439,.695,54,0,0,1,0,0,1,2012,MLB,SEA
Alex Liddi,23,38,126,116,8,26,4,1,3,10,2,1,9,49,.224,.278,.353,.631,41,0,0,0,1,0,1,2012,MLB,SEA
Munenori Kawasaki*,31,61,115,104,13,20,1,0,0,7,2,2,8,18,.192,.257,.202,.459,21,2,1,2,0,0,1,2012,MLB,SEA
Carlos Peguero*,25,17,57,56,2,10,2,1,2,7,0,0,1,28,.179,.193,.357,.550,20,0,0,0,0,0,1,2012,MLB,SEA
Carlos Triunfel,22,10,24,22,2,5,2,0,0,3,0,0,1,4,.227,.261,.318,.579,7,0,0,1,0,0,1,2012,MLB,SEA
Luis Jimenez*,30,7,18,17,0,1,0,0,0,0,0,0,1,4,.059,.111,.059,.170,1,0,0,0,0,0,1,2012,MLB,SEA
