Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Dusty Allen,25,42,189,154,30,39,10,4,6,42,1,0,32,26,.253,.381,.487,.868,75,3,1,0,2,1,1,1998,AA,SDP
Bill Anderson,27,13,5,3,0,0,0,0,0,0,0,0,2,0,.000,.400,.000,.400,0,0,0,0,0,0,0,1998,AA,SDP
Ryan Balfe#,22,23,77,69,9,16,5,1,2,11,1,0,8,10,.232,.312,.420,.732,29,3,0,0,0,0,0,1998,AA,SDP
Chris Briones,25,2,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,1998,AA,SDP
Buddy Carlyle*,20,27,37,36,1,4,1,0,0,0,0,0,1,8,.111,.135,.139,.274,5,1,0,0,0,0,1,1998,AA,SDP
John Curl*,25,104,404,363,47,100,22,2,16,66,6,1,40,108,.275,.347,.479,.826,174,4,0,0,1,1,0,1998,AA,SDP
Mike Darr*,22,132,596,523,105,162,41,4,6,90,28,8,62,79,.310,.385,.438,.823,229,18,5,1,5,2,1,1998,AA,SDP
Doug Dascenzo#,34,12,26,23,5,9,0,0,0,2,2,0,3,2,.391,.462,.391,.853,9,0,0,0,0,0,1,1998,AA,SDP
Ben Davis#,21,116,489,433,65,124,29,2,14,75,4,2,42,60,.286,.352,.460,.812,199,11,6,1,7,3,1,1998,AA,SDP
Brian Doughty,23,17,5,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,1,0,0,0,1998,AA,SDP
Al Drumheller,26,51,12,11,0,1,0,0,0,2,0,0,1,1,.091,.167,.091,.258,1,0,0,0,0,0,0,1998,AA,SDP
Eric Estes,25,17,12,10,1,1,0,0,0,1,0,0,1,2,.100,.182,.100,.282,1,0,0,1,0,0,0,1998,AA,SDP
Ethan Faggett*,23,54,186,162,22,40,2,1,3,25,7,1,16,40,.247,.322,.327,.650,53,4,3,3,2,1,0,1998,AA,SDP
Rick Gama,25,49,174,149,21,33,7,2,1,17,3,1,23,16,.221,.324,.315,.639,47,5,0,1,1,0,0,1998,AA,SDP
Jimmy Gonzalez,25,26,98,85,14,25,8,0,6,17,0,0,13,22,.294,.388,.600,.988,51,1,0,0,0,0,0,1998,AA,SDP
Wiki Gonzalez,24,22,85,67,20,26,9,0,4,26,0,0,14,4,.388,.494,.701,1.196,47,1,2,0,2,0,1,1998,AA,SDP
Domingo Guzman,23,12,7,7,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,0,0,0,0,0,0,1,1998,AA,SDP
Steve Hazlett,28,34,112,96,16,22,7,3,1,9,0,1,15,24,.229,.339,.396,.735,38,2,1,0,0,1,0,1998,AA,SDP
Terry Joseph,24,39,150,122,20,27,6,1,1,13,6,5,18,30,.221,.349,.311,.661,38,3,6,4,0,0,0,1998,AA,SDP
Brad Kaufman,26,5,5,5,1,1,0,0,0,1,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,0,1998,AA,SDP
Brandon Kolb,24,21,9,7,0,0,0,0,0,0,0,0,2,4,.000,.222,.000,.222,0,0,0,0,0,0,1,1998,AA,SDP
Rodrigo Lopez,22,4,4,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,0,0,0,2,0,0,1,1998,AA,SDP
Gary Matthews#,23,72,313,254,62,78,15,4,7,51,11,1,55,50,.307,.428,.480,.908,122,6,1,0,3,2,1,1998,AA,SDP
Mike Mitchell*,25,134,574,509,72,162,32,2,15,97,0,0,61,95,.318,.390,.477,.868,243,7,1,0,3,1,0,1998,AA,SDP
David Newhan*,24,121,564,491,89,128,26,3,12,45,27,8,68,110,.261,.352,.399,.751,196,8,2,2,1,1,1,1998,AA,SDP
Eric Newman,25,27,25,20,2,3,0,0,0,2,0,0,3,3,.150,.261,.150,.411,3,0,0,2,0,0,0,1998,AA,SDP
Kevin Nicholson#,22,132,549,488,64,105,27,3,5,52,9,5,47,114,.215,.285,.314,.598,153,10,3,5,6,7,1,1998,AA,SDP
John Powers*,24,127,566,476,92,144,27,4,12,52,9,6,76,76,.303,.406,.452,.857,215,8,8,4,2,1,0,1998,AA,SDP
Rick Prieto#,25,72,242,218,30,52,9,2,4,25,9,2,21,49,.239,.314,.353,.667,77,0,3,0,0,1,0,1998,AA,SDP
Mike Rossiter,25,22,4,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,0,1,0,0,0,1998,AA,SDP
Marcos Sanchez#,23,7,24,22,4,4,1,1,1,4,1,0,2,13,.182,.250,.455,.705,10,1,0,0,0,0,0,1998,AA,SDP
Matt Skrmetta#,25,51,5,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,1,1998,AA,SDP
Brendan Sullivan,23,35,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,1998,AA,SDP
Brian Tollberg,25,6,8,7,1,2,0,0,0,2,0,0,0,2,.286,.286,.286,.571,2,0,0,1,0,0,1,1998,AA,SDP
Ryan Van De Weg,24,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1998,AA,SDP
Brett Walters,23,14,14,12,1,3,0,0,1,3,0,0,0,3,.250,.250,.500,.750,6,0,0,2,0,0,0,1998,AA,SDP
Bryan Wolff,26,33,24,20,0,0,0,0,0,0,0,0,2,11,.000,.091,.000,.091,0,0,0,2,0,0,0,1998,AA,SDP
