Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Doug Bernier,29,79,273,227,33,41,9,2,0,20,1,0,34,71,.181,.305,.238,.543,54,6,7,4,1,2,1
Angel Berroa,31,14,63,57,7,18,4,0,2,13,0,2,4,7,.316,.365,.491,.856,28,4,1,0,1,0,1
Kevin Cash,31,23,77,68,7,15,1,0,2,9,0,0,9,23,.221,.312,.324,.635,22,4,0,0,0,0,1
Francisco Cervelli,23,21,75,69,7,19,5,0,1,7,0,2,3,13,.275,.311,.391,.702,27,3,1,1,1,0,1
Reegie Corona#,22,44,177,160,13,32,7,0,3,14,4,0,9,20,.200,.241,.300,.541,48,2,1,3,4,0,0
Colin Curtis*,24,70,279,251,29,59,10,0,6,29,1,2,24,46,.235,.302,.347,.649,87,4,1,1,2,0,1
Yurendell de Caster,29,53,206,186,23,56,12,0,5,21,3,0,13,28,.301,.369,.446,.815,83,7,7,0,0,3,1
Eric Duncan*,24,95,345,323,35,66,12,1,4,24,1,0,16,69,.204,.242,.285,.527,92,10,1,2,3,0,0
Shelley Duncan,29,123,527,452,85,125,30,1,30,99,2,0,64,94,.277,.370,.546,.916,247,3,6,0,5,2,1
Brett Gardner*,25,4,16,11,3,1,0,0,0,0,3,0,5,1,.091,.375,.091,.466,1,0,0,0,0,0,1
Freddy Guzman#,28,6,26,21,7,6,0,1,0,1,7,0,5,5,.286,.423,.381,.804,8,0,0,0,0,0,1
Austin Jackson,22,132,557,504,67,151,23,9,4,65,24,4,40,123,.300,.354,.405,.759,204,10,6,1,6,1,1
Justin Leone,32,55,212,185,17,33,11,0,4,28,2,0,21,59,.178,.259,.303,.562,56,5,1,0,5,0,1
Todd Linden#,29,60,268,237,43,74,17,5,7,42,5,0,27,61,.312,.381,.515,.895,122,3,1,0,3,1,1
Chris Malec#,26,19,70,62,8,14,1,0,1,13,1,0,6,10,.226,.300,.290,.590,18,2,1,0,1,0,0
Carlos Mendoza#,29,3,10,9,1,2,1,0,0,1,0,0,1,3,.222,.300,.333,.633,3,0,0,0,0,0,0
Juan Miranda*,26,122,502,438,74,127,30,2,19,82,1,0,55,101,.290,.369,.498,.866,218,9,3,0,6,2,1
Jose Molina,34,2,5,4,0,1,1,0,0,1,0,0,1,0,.250,.400,.500,.900,2,0,0,0,0,0,1
Xavier Nady,30,2,6,5,0,1,1,0,0,0,0,0,1,1,.200,.333,.400,.733,2,0,0,0,0,0,1
Luis Nunez,22,25,75,70,11,15,2,0,0,4,2,1,4,7,.214,.257,.243,.500,17,2,0,1,0,0,0
Ramiro Pena#,23,43,180,156,18,36,9,0,2,9,5,1,18,28,.231,.310,.327,.637,51,6,0,6,0,0,1
Brian Peterson,30,6,21,17,3,3,1,0,0,1,0,0,4,7,.176,.333,.235,.569,4,2,0,0,0,0,0
P.J. Pilittere,27,28,93,86,8,21,6,0,1,9,0,0,3,9,.244,.272,.349,.621,30,3,1,1,2,0,0
Cody Ransom,33,31,120,96,24,23,7,1,3,16,0,0,19,22,.240,.367,.427,.794,41,1,2,0,3,2,1
Richie Robnett*,25,2,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
John Rodriguez*,31,93,374,322,47,84,18,2,14,59,0,2,37,85,.261,.352,.460,.812,148,3,10,2,3,3,1
Kevin Russo,24,90,406,353,51,115,18,2,5,31,13,7,42,55,.326,.397,.431,.828,152,5,3,3,5,2,1
Chris Stewart,27,78,274,232,33,65,11,0,1,18,1,1,25,29,.280,.375,.341,.716,79,7,11,5,1,1,1
