Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Jose Almonte,19,4,16,15,4,4,2,1,0,1,0,0,1,3,.267,.313,.533,.846,8,1,0,0,0,0,0
Jhonniel Alvarez,23,5,9,8,0,2,0,0,0,1,0,0,0,2,.250,.222,.250,.472,2,1,0,0,1,0,0
Carlos Arroyo*,23,1,4,4,1,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,0
Alexeis Bell,32,4,17,16,1,4,0,0,0,0,0,0,1,2,.250,.294,.250,.544,4,1,0,0,0,0,0
Travis Bolin,21,18,77,70,9,21,5,2,0,10,7,1,3,20,.300,.338,.429,.766,30,0,2,0,2,0,0
Lewis Brinson,22,4,15,13,3,3,1,0,0,1,2,0,2,2,.231,.333,.308,.641,4,0,0,0,0,0,1
Patrick Cantwell,26,2,7,7,1,4,1,1,1,2,0,0,0,3,.571,.571,1.429,2.000,10,0,0,0,0,0,0
LeDarious Clark,22,4,15,14,4,3,1,0,1,1,1,0,0,4,.214,.214,.500,.714,7,0,0,1,0,0,0
Willy Diaz,22,47,194,173,24,46,13,3,1,22,3,1,15,60,.266,.340,.393,.733,68,9,5,0,1,0,0
Kole Enright#,18,42,172,150,22,47,13,0,1,17,3,1,14,33,.313,.378,.420,.798,63,3,4,0,4,0,0
Kelvin Fajardo,20,13,50,43,2,6,1,0,0,1,1,0,6,4,.140,.240,.163,.403,7,2,0,0,1,0,0
Sam Huff,18,28,117,97,19,32,10,1,1,17,0,0,16,29,.330,.436,.485,.920,47,6,3,0,1,0,1
Nick Kaye*,19,40,149,124,14,31,6,2,0,21,1,1,22,44,.250,.369,.331,.700,41,3,2,0,1,0,0
Isiah Kiner-Falefa,21,3,11,10,2,1,0,0,0,1,1,0,0,1,.100,.182,.100,.282,1,0,1,0,0,0,1
London Lindley,23,34,105,100,10,24,3,1,0,7,8,2,2,28,.240,.269,.290,.559,29,0,2,1,0,0,0
Marcus Mack*,17,9,24,20,2,0,0,0,0,0,4,0,4,12,.000,.167,.000,.167,0,0,0,0,0,0,0
Luis Marte,22,3,12,12,2,5,2,0,0,1,2,0,0,2,.417,.417,.583,1.000,7,0,0,0,0,0,1
Jonah McReynolds,20,37,140,128,11,28,3,2,1,10,2,1,9,37,.219,.271,.297,.568,38,6,1,0,2,0,0
Josh Merrigan*,22,14,55,52,8,10,1,0,0,0,4,1,3,16,.192,.236,.212,.448,11,2,0,0,0,0,0
Austin O'Banion,20,34,118,104,13,22,6,0,1,10,2,1,8,29,.212,.297,.298,.595,31,2,5,0,1,0,0
Yohel Pozo,19,48,199,181,25,62,12,2,1,22,1,0,13,10,.343,.382,.448,.829,81,3,1,0,4,0,1
Isaias Quiroz,19,25,84,72,6,16,2,0,2,10,0,1,9,27,.222,.333,.333,.667,24,2,3,0,0,0,0
Luis Silva,21,13,44,42,4,10,3,0,0,7,0,2,2,6,.238,.273,.310,.582,13,2,0,0,0,0,0
Ryan Strausborger,28,1,3,3,1,1,0,1,0,0,0,0,0,1,.333,.333,1.000,1.333,3,0,0,0,0,0,1
Drew Stubbs,31,3,10,9,0,2,0,0,0,1,0,0,1,3,.222,.300,.222,.522,2,0,0,0,0,0,1
Leody Taveras#,17,33,155,144,22,40,6,3,1,15,11,4,11,24,.278,.329,.382,.711,55,4,0,0,0,0,1
Anderson Tejeda#,18,32,142,133,22,39,12,6,1,21,1,0,8,36,.293,.331,.496,.827,66,0,0,0,1,0,1
Curtis Terry,19,39,154,141,20,43,17,1,4,23,0,0,9,30,.305,.357,.525,.882,74,1,3,0,1,0,1
