Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Ronald Acuna Sr.,25,129,534,500,61,150,27,4,1,57,22,12,26,99,.300,.333,.376,.709,188,5,1,3,4,0,0
Jimmy Anderson,22,3,12,11,1,2,1,0,0,2,0,0,0,4,.182,.167,.273,.439,3,1,0,0,1,0,0
David Bacani,24,58,185,158,21,52,9,3,4,29,8,6,19,29,.329,.414,.500,.914,79,1,4,4,0,0,0
Aarom Baldiris,21,21,89,81,8,18,3,1,0,8,0,0,6,13,.222,.273,.284,.557,23,0,0,1,1,0,0
Brian Bannister,23,8,6,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,1,0,0,1,0,0,1
Chris Basak,25,80,322,276,42,71,21,5,8,41,10,5,39,67,.257,.353,.457,.810,126,4,3,2,2,1,1
David Byard,26,3,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0
Javier Cardona,28,21,79,70,6,18,5,0,1,15,0,0,2,7,.257,.295,.371,.666,26,1,3,1,3,0,1
Ken Chenard,25,27,15,14,1,2,1,0,0,0,0,0,0,5,.143,.143,.214,.357,3,0,0,1,0,0,0
Zac Clements,24,9,30,27,5,5,0,0,1,1,0,0,2,12,.185,.267,.296,.563,8,1,1,0,0,0,0
Dave Detienne,24,61,192,168,24,39,7,2,0,14,5,3,17,62,.232,.325,.298,.622,50,2,6,1,0,0,0
Jose Diaz,24,21,8,7,1,1,0,0,0,1,0,0,0,3,.143,.125,.143,.268,1,0,0,0,1,0,1
Jeff Duncan*,25,38,159,133,19,34,6,1,0,9,10,2,21,38,.256,.367,.316,.683,42,4,3,1,1,0,1
Karim Garcia*,28,3,14,12,1,1,1,0,0,3,0,0,1,2,.083,.143,.167,.310,2,0,0,0,1,0,1
Jimmy Gonzalez,31,20,64,56,7,15,3,0,0,4,0,0,5,13,.268,.359,.321,.681,18,0,3,0,0,0,0
Brett Harper*,22,45,191,174,24,43,12,0,7,26,0,0,14,60,.247,.309,.437,.746,76,1,2,0,1,0,0
Joe Hietpas,25,43,162,139,13,32,10,0,3,19,0,2,19,41,.230,.335,.367,.702,51,6,3,1,0,0,1
Jeremy Hill,26,25,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,0,0,1
Justin Huber,21,70,295,236,44,64,16,1,11,33,2,2,46,57,.271,.414,.487,.901,115,5,12,0,1,4,1
Joe Jiannetti,22,5,17,17,1,6,1,0,1,3,0,0,0,3,.353,.353,.588,.941,10,0,0,0,0,0,0
Jeff Keppinger,24,14,54,47,14,17,3,1,0,5,2,1,6,2,.362,.426,.468,.894,22,2,0,0,1,1,1
Chase Lambin#,24,121,467,410,64,100,22,4,10,64,4,2,48,103,.244,.331,.390,.721,160,5,6,2,1,4,0
Tim Lavigne,25,40,3,3,1,2,1,0,0,2,0,0,0,0,.667,.667,1.000,1.667,3,0,0,0,0,0,0
Wayne Lydon#,23,123,570,506,78,137,18,6,5,43,65,20,49,119,.271,.338,.360,.698,182,2,3,11,1,0,0
Bobby Malek*,22,14,58,54,7,12,2,0,1,1,0,0,2,13,.222,.263,.315,.578,17,1,1,1,0,0,0
Micah Mangrum,26,14,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Mike Meyers,26,5,3,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,2,0,0,0
Neal Musser*,23,20,13,12,1,1,0,0,0,2,0,0,1,2,.083,.154,.083,.237,1,0,0,0,0,0,1
Wayne Ough,25,16,12,7,0,1,0,0,0,1,0,0,1,2,.143,.222,.143,.365,1,0,0,3,1,0,0
Angel Pagan#,22,112,501,449,71,129,25,8,4,63,29,5,42,96,.287,.346,.405,.751,182,6,1,4,5,1,1
Matt Peterson,22,19,12,10,0,0,0,0,0,1,0,0,1,3,.000,.091,.000,.091,0,0,0,1,0,0,0
Josh Pressley*,24,101,394,340,44,102,30,0,3,62,0,0,46,64,.300,.383,.415,.797,141,10,2,2,4,2,0
Prentice Redman,24,63,281,245,46,70,29,1,13,49,9,4,28,68,.286,.367,.571,.938,140,4,4,3,1,1,1
Jose Reyes#,21,4,21,18,2,2,0,0,0,3,3,1,2,4,.111,.190,.111,.302,2,0,0,0,1,0,1
Royce Ring*,23,19,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1
Orlando Roman,25,8,6,3,0,1,0,0,0,1,0,0,0,0,.333,.250,.333,.583,1,0,0,2,1,0,0
Jason Scobie,24,26,15,11,1,2,0,0,0,0,0,0,3,6,.182,.357,.182,.539,2,0,0,1,0,0,0
Shawn Sedlacek,27,8,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,1
Gil Velazquez,24,105,401,359,42,86,16,3,5,37,4,3,32,94,.240,.304,.343,.646,123,3,2,6,2,1,1
Vance Wilson,31,1,4,3,2,1,0,0,1,1,0,0,0,0,.333,.500,1.333,1.833,4,0,1,0,0,0,1
David Wright,21,60,272,223,44,81,27,0,10,40,20,6,39,41,.363,.467,.619,1.086,138,5,7,0,3,3,1
